# Pick&Place Position Data File
#
# Project Name:        PGDI
# Project Version:     v1
# Board Name:          Board 1
# Generation Software: LibrePCB 2.0.1
# Generation Date:     2026-05-26T15:46:25
# Unit:                mm
# Rotation:            Degrees CCW
# Board Side:          Top
# Assembly Types:      THT, SMT, THT+SMT, Fiducial, Other

Designator,Value,Device,Package,Position X,Position Y,Rotation,Side,Type
C1,100nF ceramico,Capacitor 3216 (1206),CAPC3216 (1206),61.595,15.875,90.0,Top,SMT
C2,100nF ceramico,Capacitor 3216 (1206),CAPC3216 (1206),31.115,25.4,90.0,Top,SMT
C3,10μF 16V,Tantalum Capacitor 3216-18,CAPPM320X160X180L80X120,22.86,19.05,270.0,Top,SMT
C4,47μF 25V,Tantalum Capacitor 7343-31,CAPPM730X430X310L130X240,17.145,24.765,180.0,Top,SMT
C5,47μF 25V,Tantalum Capacitor 7343-31,CAPPM730X430X310L130X240,34.925,17.145,0.0,Top,SMT
C6,10μF 16V,Tantalum Capacitor 3216-18,CAPPM320X160X180L80X120,53.34,9.525,270.0,Top,SMT
C7,100nF,Capacitor 3216 (1206),CAPC3216 (1206),6.985,17.78,180.0,Top,SMT
C8,100nF,Capacitor 3216 (1206),CAPC3216 (1206),45.085,24.13,0.0,Top,SMT
C9,100nF,Capacitor 3216 (1206),CAPC3216 (1206),6.35,20.955,270.0,Top,SMT
C10,100nF,Capacitor 3216 (1206),CAPC3216 (1206),45.72,20.955,90.0,Top,SMT
C11,47μF 25V,Tantalum Capacitor 7343-31,CAPPM730X430X310L130X240,47.625,15.24,180.0,Top,SMT
C12,47μF 25V,Tantalum Capacitor 7343-31,CAPPM730X430X310L130X240,64.77,6.985,0.0,Top,SMT
C13,100nF,Capacitor 3216 (1206),CAPC3216 (1206),37.465,8.255,180.0,Top,SMT
C14,100nF,Capacitor 3216 (1206),CAPC3216 (1206),74.93,13.97,0.0,Top,SMT
C15,100nF,Capacitor 3216 (1206),CAPC3216 (1206),36.83,11.43,270.0,Top,SMT
C16,100nF,Capacitor 3216 (1206),CAPC3216 (1206),75.565,10.795,90.0,Top,SMT
C17,100nF,Capacitor 3216 (1206),CAPC3216 (1206),53.975,20.32,270.0,Top,SMT
R2,1kΩ,Resistor 3216 (1206),RESC3216 (1206),85.09,27.305,90.0,Top,SMT
R13,100Ω,Resistor 3216 (1206),RESC3216 (1206),8.89,20.955,90.0,Top,SMT
R15,10kΩ,Resistor 3216 (1206),RESC3216 (1206),85.09,38.735,90.0,Top,SMT
R16,10kΩ,Resistor 3216 (1206),RESC3216 (1206),85.09,50.165,90.0,Top,SMT
R17,10kΩ,Resistor 3216 (1206),RESC3216 (1206),85.09,61.595,90.0,Top,SMT
R18,"2,2kΩ",Resistor 3216 (1206),RESC3216 (1206),10.16,16.51,90.0,Top,SMT
R34,2kΩ,Resistor 3216 (1206),RESC3216 (1206),5.715,26.67,270.0,Top,SMT
R35,3kΩ,Resistor 3216 (1206),RESC3216 (1206),8.255,26.67,90.0,Top,SMT
R36,100kΩ,Resistor 3216 (1206),RESC3216 (1206),85.09,43.18,90.0,Top,SMT
R37,100kΩ,Resistor 3216 (1206),RESC3216 (1206),85.09,54.61,90.0,Top,SMT
R38,100kΩ,Resistor 3216 (1206),RESC3216 (1206),85.09,66.04,90.0,Top,SMT
R39,"3,9kΩ",Resistor 3216 (1206),RESC3216 (1206),12.7,16.51,270.0,Top,SMT
R40,100kΩ,Resistor 3216 (1206),RESC3216 (1206),85.09,31.75,90.0,Top,SMT
R41,"430Ω +/-0,1%",Resistor 2012 (0805),RESC2012 (0805),11.43,23.495,90.0,Top,SMT
R42,10kΩ,Resistor 3216 (1206),RESC3216 (1206),18.415,18.415,180.0,Top,SMT
R43,10kΩ,Resistor 3216 (1206),RESC3216 (1206),18.415,20.955,0.0,Top,SMT
R44,10kΩ,Resistor 3216 (1206),RESC3216 (1206),34.925,23.495,0.0,Top,SMT
R45,10kΩ,Resistor 3216 (1206),RESC3216 (1206),34.925,20.955,180.0,Top,SMT
R46,100Ω,Resistor 3216 (1206),RESC3216 (1206),43.18,20.955,270.0,Top,SMT
R47,"2,2kΩ",Resistor 3216 (1206),RESC3216 (1206),41.91,25.4,270.0,Top,SMT
R48,"3,9kΩ",Resistor 3216 (1206),RESC3216 (1206),39.37,25.4,90.0,Top,SMT
R49,"430Ω +/-0,1%",Resistor 2012 (0805),RESC2012 (0805),40.64,18.415,270.0,Top,SMT
R50,100Ω,Resistor 3216 (1206),RESC3216 (1206),39.37,11.43,90.0,Top,SMT
R51,"2,2kΩ",Resistor 3216 (1206),RESC3216 (1206),40.64,6.985,90.0,Top,SMT
R52,"3,9kΩ",Resistor 3216 (1206),RESC3216 (1206),43.18,6.985,270.0,Top,SMT
R53,"430Ω +/-0,1%",Resistor 2012 (0805),RESC2012 (0805),41.91,13.97,90.0,Top,SMT
R54,10kΩ,Resistor 3216 (1206),RESC3216 (1206),48.895,8.89,180.0,Top,SMT
R55,10kΩ,Resistor 3216 (1206),RESC3216 (1206),48.895,11.43,0.0,Top,SMT
R56,10kΩ,Resistor 3216 (1206),RESC3216 (1206),64.77,13.335,0.0,Top,SMT
R57,10kΩ,Resistor 3216 (1206),RESC3216 (1206),64.77,10.795,180.0,Top,SMT
R58,100Ω,Resistor 3216 (1206),RESC3216 (1206),73.025,10.795,270.0,Top,SMT
R59,"2,2kΩ",Resistor 3216 (1206),RESC3216 (1206),71.755,15.24,270.0,Top,SMT
R60,"3,9kΩ",Resistor 3216 (1206),RESC3216 (1206),69.215,15.24,90.0,Top,SMT
R61,"430Ω +/-0,1%",Resistor 2012 (0805),RESC2012 (0805),70.485,8.255,270.0,Top,SMT
U2,CD74HC4067M,CD74HC4067M,DW24,54.61,62.23,180.0,Top,SMT
U4,LM358PWR,LM358PWR,PW8,27.305,22.225,0.0,Top,SMT
U6,LM358PWR,LM358PWR,PW8,57.785,12.7,0.0,Top,SMT
U7,ADS1115LIDGSR,ADS1115LIDGSR,VSSOP10_DGS_TEX,58.42,20.32,90.0,Top,SMT
